,track_uri,artist_uri,genres
13,56uBQujWiOiFMFg1R3TZUJ,2dIgFjalVxs4ThymZ67YCE,k-pop
13,56uBQujWiOiFMFg1R3TZUJ,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
13,56uBQujWiOiFMFg1R3TZUJ,2dIgFjalVxs4ThymZ67YCE,pop
14,6rurduYegrf5XSZrphuyF2,7nqOGRxlXj7N2JYbgNEjYH,k-pop
14,6rurduYegrf5XSZrphuyF2,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
15,6ENsTPfqZ0Y9QdGpqN30zg,2FLqlgckDKdmpBrvLAT5BM,k-pop
16,0hLvtmoexLKl14LrzxOYRt,2dIgFjalVxs4ThymZ67YCE,k-pop
16,0hLvtmoexLKl14LrzxOYRt,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
16,0hLvtmoexLKl14LrzxOYRt,2dIgFjalVxs4ThymZ67YCE,pop
17,34o6gteNy2T5rieA0xYAgo,3VQDqjQ4wJyw8PzpGdlZpB,korean r&b
18,3pajXCqOSkwgTIBXZEauQD,1ATcda1cBf3inR0K5yqlU6,chill guitar
19,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,permanent wave
19,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,pop
20,4C9Zhjq5ux9ieiDWYfFcfP,2dIgFjalVxs4ThymZ67YCE,k-pop
20,4C9Zhjq5ux9ieiDWYfFcfP,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
20,4C9Zhjq5ux9ieiDWYfFcfP,2dIgFjalVxs4ThymZ67YCE,pop
21,2Q4D2Pz1HDt1x4NukBID5Q,7nqOGRxlXj7N2JYbgNEjYH,k-pop
21,2Q4D2Pz1HDt1x4NukBID5Q,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
22,0h7QMc9ZRzA9QJrbEHytn2,5vV3bFXnN6D6N3Nj4xRvaV,k-pop
23,3aapqx97CiNvdMRCOtyWXW,50Zu2bK9y5UAtD0jcqk5VX,k-indie
23,3aapqx97CiNvdMRCOtyWXW,50Zu2bK9y5UAtD0jcqk5VX,korean electropop
24,7BXW1QCg56yzEBV8pW8pah,4phGZZrJZRo4ElhRtViYdl,acoustic pop
24,7BXW1QCg56yzEBV8pW8pah,4phGZZrJZRo4ElhRtViYdl,dance pop
24,7BXW1QCg56yzEBV8pW8pah,4phGZZrJZRo4ElhRtViYdl,neo mellow
24,7BXW1QCg56yzEBV8pW8pah,4phGZZrJZRo4ElhRtViYdl,pop
25,05ib88vsMeLfwlAfrZyz99,2dIgFjalVxs4ThymZ67YCE,k-pop
25,05ib88vsMeLfwlAfrZyz99,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
25,05ib88vsMeLfwlAfrZyz99,2dIgFjalVxs4ThymZ67YCE,pop
26,3AOf6YEpxQ894FmrwI9k96,7nqOGRxlXj7N2JYbgNEjYH,k-pop
26,3AOf6YEpxQ894FmrwI9k96,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
27,1FU3x0eu9cUl3AltO6t2KH,1qBsABYUrxg9afpMtyoFKz,chinese idol pop
27,1FU3x0eu9cUl3AltO6t2KH,1qBsABYUrxg9afpMtyoFKz,k-pop
28,2e3cJdJ8xWwydl8JIYlCqB,1qBsABYUrxg9afpMtyoFKz,chinese idol pop
28,2e3cJdJ8xWwydl8JIYlCqB,1qBsABYUrxg9afpMtyoFKz,k-pop
